,moverscore,number of Unique sentences,chapter-title,source
102,0.53965872807766,6,Jane Eyre.volume 1.chapter 6,shmoop
103,0.5224867647329984,8,Jane Eyre.volume 1.chapter 7,shmoop
104,0.5444263517126002,9,Jane Eyre.volume 1.chapter 8,shmoop
105,0.5443676105965246,10,Jane Eyre.volume 1.chapter 9,shmoop
106,0.5509385446546088,14,Jane Eyre.volume 1.chapter 10,shmoop
107,0.5479647231051237,17,Jane Eyre.volume 1.chapter 11,shmoop
108,0.5468746427046574,13,Jane Eyre.volume 1.chapter 12,shmoop
109,0.5455307822028087,9,Jane Eyre.volume 1.chapter 13,shmoop
110,0.5412021194324107,7,Jane Eyre.volume 1.chapter 14,shmoop
111,0.551458499625614,17,Jane Eyre.volume 1.chapter 15,shmoop
112,0.5687875578726733,6,Jane Eyre.volume 1.chapter 1,cliffnotes
113,0.5637203926589858,10,Jane Eyre.volume 1.chapter 4,cliffnotes
114,0.5586691419929133,9,Jane Eyre.volume 1.chapter 5,cliffnotes
115,0.563832775416228,7,Jane Eyre.volume 1.chapter 8,cliffnotes
116,0.5608005888689268,8,Jane Eyre.volume 1.chapter 9,cliffnotes
117,0.5699511666650048,8,Jane Eyre.volume 1.chapter 10,cliffnotes
118,0.5680832852217498,11,Jane Eyre.volume 1.chapter 11,cliffnotes
119,0.5547872786968409,8,Jane Eyre.volume 1.chapter 12,cliffnotes
120,0.5477552489926633,5,Jane Eyre.volume 1.chapter 13,cliffnotes
121,0.5611608519098985,7,Jane Eyre.volume 2.chapter 16,cliffnotes
122,0.58182264171845,11,Jane Eyre.volume 2.chapter 17,cliffnotes
123,0.5576412950435052,15,Jane Eyre.volume 2.chapter 20,cliffnotes
124,0.5713036771135775,11,Jane Eyre.volume 2.chapter 21,cliffnotes
125,0.5569483904735538,6,Jane Eyre.volume 2.chapter 22,cliffnotes
126,0.5654533279967178,7,Jane Eyre.volume 2.chapter 23,cliffnotes
127,0.5619415243253102,10,Jane Eyre.volume 3.chapter 26,cliffnotes
128,0.5615138674035642,13,Jane Eyre.volume 3.chapter 27,cliffnotes
129,0.5538261311538946,8,Jane Eyre.volume 3.chapter 30,cliffnotes
130,0.5455716305976788,9,Jane Eyre.volume 3.chapter 31,cliffnotes
131,0.5708174911429723,10,Jane Eyre.volume 3.chapter 32,cliffnotes
132,0.5589755578892669,8,Jane Eyre.volume 3.chapter 33,cliffnotes
133,0.5662366443154887,13,Jane Eyre.volume 3.chapter 34,cliffnotes
134,0.5681888659812033,15,Jane Eyre.volume 3.chapter 35,cliffnotes
135,0.5629437735984346,11,Jane Eyre.volume 3.chapter 36,cliffnotes
136,0.5775046249799767,14,Jane Eyre.volume 3.chapter 37,cliffnotes
