,rouge-2n,number of Unique sentences,title,source
128,0.0848846657892949,33,kidnapped,shmoop
129,0.09000995239893125,37,kidnapped,sparknotes
130,0.04640185225671629,18,a little princess,gradesaver
131,0.05092659177853146,18,a little princess,shmoop
132,0.10710536324591616,36,regeneration,gradesaver
133,0.1261617780247729,36,regeneration,sparknotes
134,0.03383833735500988,10,sons and lovers,shmoop
135,0.06807949802372451,13,sons and lovers,sparknotes
136,0.08892252088526338,34,the hound of the baskervilles,gradesaver
137,0.07662635680744034,30,the hound of the baskervilles,shmoop
138,0.08394721338947563,16,the last of the mohicans,cliffnotes
139,0.07244456148924977,17,the last of the mohicans,sparknotes
140,0.05871337973937255,39,the red badge of courage,gradesaver
141,0.07298484742858197,18,the red badge of courage,shmoop
142,0.08091554939430547,21,the red badge of courage,cliffnotes
143,0.0771977841256199,23,the red badge of courage,sparknotes
144,0.07287878498554365,40,the mill on the floss,gradesaver
145,0.09020596102158739,17,the mill on the floss,shmoop
146,0.05767830428619612,23,the mill on the floss,cliffnotes
147,0.0699200664913262,20,treasure island,gradesaver
148,0.0576768399964849,27,treasure island,shmoop
149,0.07415238034225785,27,treasure island,cliffnotes
150,0.0703496633676302,23,henry viii,sparknotes
151,0.06752769453334834,25,the time machine,gradesaver
152,0.112000721081874,11,the time machine,shmoop
153,0.10932929981190595,17,the time machine,sparknotes
154,0.07093678911142853,15,vanity fair,gradesaver
155,0.043430481794285214,26,vanity fair,shmoop
156,0.06623700563940138,23,vanity fair,cliffnotes
157,0.07776152306954133,70,little dorrit,gradesaver
158,0.07932920910662343,67,little dorrit,shmoop
159,0.04732743352554044,22,incidents in the life of a slave girl,gradesaver
160,0.06442135143108177,19,incidents in the life of a slave girl,shmoop
161,0.02891787535695868,15,henry iv part 2,gradesaver
162,0.06666666199027813,1,henry iv part 2,shmoop
163,0.047330617988463934,1,henry iv part 2,sparknotes
164,0.08317183711876651,25,macbeth,gradesaver
165,0.060269740185353304,14,macbeth,shmoop
166,0.09673967032987854,16,macbeth,sparknotes
167,0.08001072111900145,14,troilus and cressida,gradesaver
168,0.06086097662037036,17,troilus and cressida,shmoop
169,0.08709336827727367,16,troilus and cressida,sparknotes
170,0.05035585640101714,14,richard ii,gradesaver
171,0.035544439808943534,16,richard ii,shmoop
172,0.06924932419368068,13,richard ii,sparknotes
173,0.053023131027262194,15,henry iv part 1,gradesaver
174,0.04013089243728514,21,henry iv part 1,shmoop
