,rouge-l,number of Unique sentences,title,source
128,0.2235380181896923,36,kidnapped,shmoop
129,0.2277989462269099,37,kidnapped,sparknotes
130,0.17779445444451636,21,a little princess,gradesaver
131,0.17123379608656172,21,a little princess,shmoop
132,0.2545808302334511,34,regeneration,gradesaver
133,0.26853435303665,39,regeneration,sparknotes
134,0.13035470840673613,18,sons and lovers,shmoop
135,0.19578584640194702,15,sons and lovers,sparknotes
136,0.23613461327063234,37,the hound of the baskervilles,gradesaver
137,0.20789330054735933,38,the hound of the baskervilles,shmoop
138,0.23488155556710796,17,the last of the mohicans,cliffnotes
139,0.21951371047564466,17,the last of the mohicans,sparknotes
140,0.19576708698800374,46,the red badge of courage,gradesaver
141,0.20848267139419777,23,the red badge of courage,shmoop
142,0.22488908416620068,23,the red badge of courage,cliffnotes
143,0.2270794608429101,22,the red badge of courage,sparknotes
144,0.20094535341087016,38,the mill on the floss,gradesaver
145,0.2179327937248401,20,the mill on the floss,shmoop
146,0.19176269576690505,22,the mill on the floss,cliffnotes
147,0.20027523108504236,22,treasure island,gradesaver
148,0.18782931219595111,33,treasure island,shmoop
149,0.20731821346421986,33,treasure island,cliffnotes
150,0.20706123822376685,27,henry viii,sparknotes
151,0.2115660850580846,29,the time machine,gradesaver
152,0.23305700902942017,18,the time machine,shmoop
153,0.2503906676230732,15,the time machine,sparknotes
154,0.20426842512892368,17,vanity fair,gradesaver
155,0.16707029440499194,26,vanity fair,shmoop
156,0.1955627808455192,26,vanity fair,cliffnotes
157,0.2036300898357508,73,little dorrit,gradesaver
158,0.2018430891995862,76,little dorrit,shmoop
159,0.17884242065182643,24,incidents in the life of a slave girl,gradesaver
160,0.17855806159122134,26,incidents in the life of a slave girl,shmoop
161,0.12581902771142567,18,henry iv part 2,gradesaver
162,0.18596259349043331,1,henry iv part 2,shmoop
163,0.14859080725751778,1,henry iv part 2,sparknotes
164,0.22028047995935268,30,macbeth,gradesaver
165,0.17176083075848703,20,macbeth,shmoop
166,0.23481463720882467,16,macbeth,sparknotes
167,0.2094940169420809,14,troilus and cressida,gradesaver
168,0.1808895721217688,18,troilus and cressida,shmoop
169,0.22594504830331905,15,troilus and cressida,sparknotes
170,0.18380809391863093,12,richard ii,gradesaver
171,0.1528543414859403,14,richard ii,shmoop
172,0.19059208590816215,13,richard ii,sparknotes
173,0.19335062501831662,22,henry iv part 1,gradesaver
174,0.1597724945002867,24,henry iv part 1,shmoop
175,0.20012111342371863,25,henry iv part 1,sparknotes
176,0.19770391659443,25,king john,shmoop
177,0.21398156769248072,27,king john,sparknotes
178,0.17876523806362568,21,henry vi part 1,shmoop
179,0.16177213295163315,24,henry vi part 1,sparknotes
180,0.2113499515275391,14,richard iii,gradesaver
181,0.16613025829921702,18,richard iii,shmoop
182,0.22440041151346485,18,richard iii,sparknotes
183,0.2037892286250311,44,henry v,gradesaver
184,0.20410413075719724,43,henry v,shmoop
185,0.20551023033796947,23,henry viii,shmoop
186,0.17762981395570918,18,titus andronicus,gradesaver
187,0.1923581178346744,14,titus andronicus,shmoop
188,0.1902955662794929,13,titus andronicus,sparknotes
189,0.22109895573469757,52,julius caesar,gradesaver
190,0.2133343321190137,43,julius caesar,shmoop
191,0.23038723355971763,44,julius caesar,sparknotes
192,0.2165300093820889,19,two gentlemen of verona,shmoop
193,0.2278340251101273,23,two gentlemen of verona,sparknotes
194,0.21924207338819449,33,the wonderful wizard of oz,gradesaver
195,0.18363457280199091,40,the wonderful wizard of oz,shmoop
196,0.1985574244355668,20,pygmalion,gradesaver
197,0.19036688227405626,20,pygmalion,shmoop
198,0.2077571792974347,18,pygmalion,sparknotes
199,0.1861157455138675,33,twelfth night,gradesaver
200,0.21186191661375092,26,twelfth night,sparknotes
201,0.2059468615077999,15,the aeneid,gradesaver
202,0.19995657294402633,27,the aeneid,shmoop
203,0.19551712352500938,26,the aeneid,sparknotes
204,0.160908924533337,18,ghosts,gradesaver
205,0.1944355976024864,16,ghosts,shmoop
206,0.193457344907657,36,merry wives of windsor,shmoop
207,0.19372789531787557,34,merry wives of windsor,sparknotes
208,0.20234671636330429,19,the spanish tragedy,gradesaver
209,0.19644034951150138,26,the spanish tragedy,shmoop
210,0.21871028393232025,33,tartuffe,gradesaver
211,0.21066382079858467,31,tartuffe,shmoop
212,0.172253541383434,13,an enemy of the people,gradesaver
213,0.2018364930133723,7,an enemy of the people,shmoop
214,0.21131886365526348,7,an enemy of the people,sparknotes
215,0.19553265743090434,19,siddhartha,gradesaver
216,0.2432504970264164,17,siddhartha,shmoop
217,0.20382407868729668,18,measure for measure,gradesaver
218,0.19455954106283646,14,measure for measure,shmoop
219,0.22901720611635698,12,measure for measure,sparknotes
