,rouge-2n,number of Unique sentences,chapter-title,source
4918,0.02860727666280855,3,candide-chapter-9,novelguide
4919,0.061353444739309676,3,candide-chapter-10,novelguide
4920,0.045395799143773084,6,candide-chapter-11,novelguide
4921,0.09089730659337708,4,candide-chapter-12,novelguide
4922,0.07290059789401193,4,candide-chapter-13,novelguide
4923,0.03939821069376226,5,candide-chapter-14,novelguide
4924,0.03852943886189363,3,candide-chapter-25,novelguide
4925,0.07347391117358851,3,candide-chapter-26,novelguide
4926,0.01358411634711465,1,candide-chapter-27,novelguide
4927,0.035006746337772635,2,candide-chapter-28,novelguide
4928,0.04375096799150314,3,paradise-lost-book-1,gradesaver
4929,0.05567144808118198,17,paradise-lost-book-2,gradesaver
4930,0.05593125024971864,12,paradise-lost-book-3,gradesaver
4931,0.08532673749259256,14,paradise-lost-book-4,gradesaver
4932,0.06559365203201513,11,paradise-lost-book-5,gradesaver
4933,0.057303665369761336,13,paradise-lost-book-6,gradesaver
4934,0.06136167883215293,4,paradise-lost-book-7,gradesaver
4935,0.08164545075958733,11,paradise-lost-book-8,gradesaver
4936,0.0771758970380549,12,paradise-lost-book-9,gradesaver
4937,0.08760921932376292,21,paradise-lost-book-10,gradesaver
4938,0.030256910863667785,8,paradise-lost-book-1,shmoop
4939,0.04056225721571998,22,paradise-lost-book-2,shmoop
4940,0.03862000004545977,20,paradise-lost-book-3,shmoop
4941,0.04579181893049674,26,paradise-lost-book-4,shmoop
4942,0.041026631113033805,19,paradise-lost-book-5,shmoop
4943,0.03830973919526226,16,paradise-lost-book-6,shmoop
4944,0.02986695042140558,12,paradise-lost-book-7,shmoop
4945,0.04964598498442114,15,paradise-lost-book-8,shmoop
4946,0.04560271766195822,16,paradise-lost-book-9,shmoop
4947,0.07660128380728454,26,paradise-lost-book-10,shmoop
4948,0.05139866918259689,6,paradise-lost-book-1,cliffnotes
4949,0.0728025593796529,8,paradise-lost-book-2,cliffnotes
4950,0.06617319340699883,10,paradise-lost-book-3,cliffnotes
4951,0.08150674076410448,18,paradise-lost-book-4,cliffnotes
4952,0.0818207746544229,11,paradise-lost-book-5,cliffnotes
4953,0.0707414130588541,7,paradise-lost-book-6,cliffnotes
4954,0.059517418375789055,6,paradise-lost-book-7,cliffnotes
4955,0.08473442240019795,12,paradise-lost-book-8,cliffnotes
4956,0.06985674367918035,12,paradise-lost-book-9,cliffnotes
4957,0.0945544761319249,34,paradise-lost-book-10,cliffnotes
4958,0.055504791191787244,4,paradise-lost-book-1,sparknotes
4959,0.056669921011085166,8,paradise-lost-book-2,sparknotes
4960,0.05779848745938854,11,paradise-lost-book-3,sparknotes
4961,0.07495268308104337,21,paradise-lost-book-4,sparknotes
4962,0.07032491032791292,11,paradise-lost-book-5,sparknotes
4963,0.06563001145111737,8,paradise-lost-book-6,sparknotes
4964,0.04827450603181196,6,paradise-lost-book-7,sparknotes
4965,0.08127900924187463,16,paradise-lost-book-8,sparknotes
4966,0.08417880555836117,13,paradise-lost-book-9,sparknotes
4967,0.09356145657433135,34,paradise-lost-book-10,sparknotes
4968,0.06048645748912711,4,northanger-abbey-chapter-1,gradesaver
4969,0.0765342020829203,6,northanger-abbey-chapter-2,gradesaver
4970,0.05280264509791524,6,northanger-abbey-chapter-3,gradesaver
4971,0.055087184099532914,4,northanger-abbey-chapter-4,gradesaver
4972,0.051790561939801236,6,northanger-abbey-chapter-5,gradesaver
4973,0.04574019452512015,5,northanger-abbey-chapter-6,gradesaver
4974,0.0692709355271526,8,northanger-abbey-chapter-7,gradesaver
4975,0.0640957147748287,6,northanger-abbey-chapter-9,gradesaver
4976,0.07457565154224148,10,northanger-abbey-chapter-10,gradesaver
4977,0.08851939597382605,8,northanger-abbey-chapter-11,gradesaver
4978,0.09508344184958886,7,northanger-abbey-chapter-12,gradesaver
4979,0.08261793717912819,7,northanger-abbey-chapter-13,gradesaver
4980,0.08233372302571845,7,northanger-abbey-chapter-14,gradesaver
4981,0.06228323448991278,5,northanger-abbey-chapter-15,gradesaver
4982,0.058769507956977364,5,northanger-abbey-chapter-8,gradesaver
4983,0.05361776541844352,3,northanger-abbey-chapter-16,gradesaver
4984,0.023561891898194007,5,northanger-abbey-chapter-1,shmoop
4985,0.050684894138378636,8,northanger-abbey-chapter-2,shmoop
4986,0.03855837080086802,7,northanger-abbey-chapter-3,shmoop
4987,0.06325580533667173,5,northanger-abbey-chapter-4,shmoop
4988,0.02925899107695582,3,northanger-abbey-chapter-5,shmoop
4989,0.03568776268311592,11,northanger-abbey-chapter-6,shmoop
4990,0.04677098300060813,7,northanger-abbey-chapter-7,shmoop
4991,0.037089816791728764,8,northanger-abbey-chapter-8,shmoop
4992,0.043351798240580615,6,northanger-abbey-chapter-9,shmoop
4993,0.048936828641857014,13,northanger-abbey-chapter-10,shmoop
4994,0.05033417177154638,8,northanger-abbey-chapter-11,shmoop
4995,0.07133769336764906,6,northanger-abbey-chapter-12,shmoop
4996,0.05702684560340162,11,northanger-abbey-chapter-13,shmoop
4997,0.06200996623395445,10,northanger-abbey-chapter-14,shmoop
4998,0.03868976085442652,8,northanger-abbey-chapter-15,shmoop
4999,0.01063165496117391,5,northanger-abbey-chapter-16,shmoop
