,rouge-l,number of Unique sentences,chapter-title,source
4090,0.25845200611102326,10,The Turn of the Screw.chapter xvii,gradesaver
4091,0.27917283317700614,8,The Turn of the Screw.chapter xviii,gradesaver
4092,0.27428792990904644,7,The Turn of the Screw.chapter xix,gradesaver
4093,0.21406011043868367,8,The Turn of the Screw.chapter xx,gradesaver
4094,0.24599069771106885,6,The Turn of the Screw.chapter xxi,gradesaver
4095,0.2286265764342271,9,The Turn of the Screw.chapter xxii,gradesaver
4096,0.22559727761487955,7,The Turn of the Screw.chapter xxiii,gradesaver
4097,0.28871524911390806,14,The Turn of the Screw.chapter xxiv,gradesaver
4098,0.16123685797353582,11,The Turn of the Screw.prologue,shmoop
4099,0.1993199205829578,9,The Turn of the Screw.prologue,cliffnotes
4100,0.17154185811044625,9,The Turn of the Screw.prologue,sparknotes
4101,0.213269983273555,6,The Turn of the Screw.chapter v,sparknotes
4102,0.23761100829904272,7,The Turn of the Screw.chapter vi,sparknotes
4103,0.2878137494630725,7,The Turn of the Screw.chapter vii,sparknotes
4104,0.23525131968443,5,The Turn of the Screw.chapter viii,sparknotes
4105,0.19667284300338103,7,The Turn of the Screw.chapter ix,sparknotes
4106,0.20478138244635768,10,The Turn of the Screw.chapter x,sparknotes
4107,0.2534674539410376,6,The Turn of the Screw.chapter xi,sparknotes
4108,0.29925878757916813,6,The Turn of the Screw.chapter xii,sparknotes
4109,0.2265020440386487,5,The Turn of the Screw.chapter xiii,sparknotes
4110,0.21090552915012528,6,The Turn of the Screw.chapter xiv,sparknotes
4111,0.26289360038132437,6,The Turn of the Screw.chapter xv,sparknotes
4112,0.29708760185957495,8,The Turn of the Screw.chapter xvi,sparknotes
4113,0.24466125208793515,11,The Turn of the Screw.chapter xvii,sparknotes
4114,0.2719942992262905,9,The Turn of the Screw.chapter xviii,sparknotes
4115,0.2823181231136567,7,The Turn of the Screw.chapter xix,sparknotes
4116,0.2638443754852402,6,The Turn of the Screw.chapter xx,sparknotes
4117,0.26389171135932926,6,The Turn of the Screw.chapter xxi,sparknotes
4118,0.24121916985952518,8,The Turn of the Screw.chapter xxii,sparknotes
4119,0.24420986171010936,5,The Turn of the Screw.chapter xxiii,sparknotes
4120,0.31955179881394524,12,The Turn of the Screw.chapter xxiv,sparknotes
4121,0.248223505216347,8,Candide.chapter 1,shmoop
4122,0.16227378873804943,5,Candide.chapter 2,shmoop
4123,0.16946616607517453,6,Candide.chapter 3,shmoop
4124,0.20361935125752267,7,Candide.chapter 4,shmoop
4125,0.16588139122847012,5,Candide.chapter 5,shmoop
4126,0.16954016273684977,5,Candide.chapter 6,shmoop
4127,0.13621184744535608,4,Candide.chapter 7,shmoop
4128,0.18992089592327682,4,Candide.chapter 8,shmoop
4129,0.12745163327129647,5,Candide.chapter 9,shmoop
4130,0.15280102116587235,5,Candide.chapter 10,shmoop
4131,0.1425877605464489,9,Candide.chapter 11,shmoop
4132,0.18630538353603132,7,Candide.chapter 12,shmoop
4133,0.17916278097455374,7,Candide.chapter 13,shmoop
4134,0.19068075970393275,5,Candide.chapter 14,shmoop
4135,0.20160934846321624,9,Candide.chapter 15,shmoop
4136,0.21699866741397786,11,Candide.chapter 16,shmoop
4137,0.21206155097836948,7,Candide.chapter 17,shmoop
4138,0.19452407702827568,8,Candide.chapter 18,shmoop
4139,0.23840455724873125,6,Candide.chapter 19,shmoop
4140,0.1578812794831532,5,Candide.chapter 20,shmoop
