,rouge-1n,number of Unique sentences,chapter-title,source
0,0.26534492990047504,8,bleak-house-chapter-18,gradesaver
1,0.28513101617737724,6,bleak-house-chapter-19,gradesaver
2,0.2195739964099806,6,bleak-house-chapter-40,gradesaver
3,0.24964496399326275,4,bleak-house-chapter-42,gradesaver
4,0.27145620707684937,6,bleak-house-chapter-61,gradesaver
5,0.34253006861604457,5,bleak-house-chapter-62,gradesaver
6,0.21138131797725257,9,bleak-house-chapter-1,shmoop
7,0.20240295167211142,9,bleak-house-chapter-2,shmoop
8,0.22647242235547105,20,bleak-house-chapter-3,shmoop
9,0.20104215427850425,10,bleak-house-chapter-4,shmoop
10,0.19506617882801466,19,bleak-house-chapter-5,shmoop
11,0.17785916730601678,15,bleak-house-chapter-6,shmoop
12,0.20009127438733323,13,bleak-house-chapter-7,shmoop
13,0.18778675119036517,18,bleak-house-chapter-8,shmoop
14,0.18975691053916469,13,bleak-house-chapter-9,shmoop
15,0.189962943197035,10,bleak-house-chapter-10,shmoop
16,0.21373080824712845,16,bleak-house-chapter-11,shmoop
17,0.23335575855639887,12,bleak-house-chapter-12,shmoop
18,0.1493444057675283,14,bleak-house-chapter-13,shmoop
19,0.18713890198895244,14,bleak-house-chapter-14,shmoop
20,0.19627181354719334,13,bleak-house-chapter-15,shmoop
21,0.16977629919524126,11,bleak-house-chapter-16,shmoop
22,0.21040092227267507,12,bleak-house-chapter-17,shmoop
23,0.19615567016510732,18,bleak-house-chapter-18,shmoop
24,0.24677371723564406,10,bleak-house-chapter-19,shmoop
25,0.22657016530766658,10,bleak-house-chapter-20,shmoop
26,0.21814435888255254,8,bleak-house-chapter-21,shmoop
27,0.1966578599073784,14,bleak-house-chapter-22,shmoop
28,0.21987756409885686,12,bleak-house-chapter-23,shmoop
29,0.20839502991302541,18,bleak-house-chapter-24,shmoop
30,0.20423769513050924,8,bleak-house-chapter-25,shmoop
31,0.2167623253366099,11,bleak-house-chapter-26,shmoop
32,0.2304642326555244,11,bleak-house-chapter-27,shmoop
33,0.20444765269125234,10,bleak-house-chapter-28,shmoop
34,0.2230511731248804,13,bleak-house-chapter-29,shmoop
35,0.2219662607418017,13,bleak-house-chapter-30,shmoop
36,0.19507116392371016,12,bleak-house-chapter-31,shmoop
37,0.2147933657247072,10,bleak-house-chapter-32,shmoop
38,0.20027292636586355,9,bleak-house-chapter-33,shmoop
39,0.2187410035762644,11,bleak-house-chapter-34,shmoop
40,0.19695645644807977,13,bleak-house-chapter-35,shmoop
41,0.2156917455648556,14,bleak-house-chapter-36,shmoop
42,0.2275907259731531,14,bleak-house-chapter-37,shmoop
43,0.17052047293579134,7,bleak-house-chapter-38,shmoop
44,0.19141344051175593,9,bleak-house-chapter-39,shmoop
45,0.20199926630175608,9,bleak-house-chapter-40,shmoop
46,0.19863608991938855,8,bleak-house-chapter-41,shmoop
47,0.2190118843407989,8,bleak-house-chapter-42,shmoop
48,0.21288953847562783,10,bleak-house-chapter-43,shmoop
