,meteor,number of Unique sentences,chapter-title,source
138,0.36810960372821505,5,Jane Eyre.volume 1.chapter 1,sparknotes
139,0.2878445511503769,3,Jane Eyre.volume 1.chapter 2,sparknotes
140,0.29187829339237586,4,Jane Eyre.volume 1.chapter 3,sparknotes
141,0.25857112499908386,7,Jane Eyre.volume 1.chapter 4,sparknotes
142,0.30366338378513846,5,Jane Eyre.volume 1.chapter 5,sparknotes
143,0.26991869418736814,4,Jane Eyre.volume 1.chapter 6,sparknotes
144,0.3049048057201597,2,Jane Eyre.volume 1.chapter 7,sparknotes
145,0.35220598342055903,5,Jane Eyre.volume 1.chapter 8,sparknotes
146,0.4013495096246154,5,Jane Eyre.volume 1.chapter 9,sparknotes
147,0.3397220520564625,7,Jane Eyre.volume 1.chapter 10,sparknotes
148,0.28424199916110016,5,Jane Eyre.volume 2.chapter 16,sparknotes
149,0.33262827336931833,12,Jane Eyre.volume 2.chapter 17,sparknotes
150,0.30383653073589967,7,Jane Eyre.volume 2.chapter 18,sparknotes
151,0.332321493519606,5,Jane Eyre.volume 2.chapter 19,sparknotes
152,0.2827942834308577,11,Jane Eyre.volume 2.chapter 20,sparknotes
153,0.32447902244685217,8,Jane Eyre.volume 2.chapter 21,sparknotes
154,0.29627896638024404,5,Jane Eyre.volume 2.chapter 22,sparknotes
155,0.29902389515922767,7,Jane Eyre.volume 2.chapter 23,sparknotes
156,0.25581976406760165,7,Jane Eyre.volume 2.chapter 24,sparknotes
157,0.27943323874844045,7,Jane Eyre.volume 2.chapter 25,sparknotes
158,0.2688911943736026,11,Jane Eyre.volume 3.chapter 26,sparknotes
159,0.28764870658925196,16,Jane Eyre.volume 3.chapter 27,sparknotes
160,0.29484030962735264,10,Jane Eyre.volume 3.chapter 28,sparknotes
161,0.30042234534531875,5,Jane Eyre.volume 3.chapter 29,sparknotes
162,0.3908073942377891,7,Jane Eyre.volume 3.chapter 30,sparknotes
163,0.33819485694358054,5,Jane Eyre.volume 3.chapter 31,sparknotes
164,0.35493395630789804,7,Jane Eyre.volume 3.chapter 32,sparknotes
165,0.29574098690990713,7,Jane Eyre.volume 3.chapter 33,sparknotes
166,0.3240158624949243,6,Jane Eyre.volume 3.chapter 34,sparknotes
167,0.2914710987520883,5,Jane Eyre.volume 3.chapter 35,sparknotes
168,0.3356598591946315,8,Jane Eyre.volume 3.chapter 36,sparknotes
169,0.43677830233037,12,Jane Eyre.volume 3.chapter 37,sparknotes
170,0.2748956493257485,6,Jane Eyre.volume 3.chapter 38,sparknotes
171,0.24584308369567517,6,Jane Eyre.volume 2.chapter 19,bookwolf
172,0.26237254626586587,5,Jane Eyre.volume 2.chapter 20,bookwolf
173,0.29061886800425135,13,Jane Eyre.volume 2.chapter 21,bookwolf
