,rouge-l,number of Unique sentences,chapter-title,source
0,0.20122175082205512,8,bleak-house-chapter-18,gradesaver
1,0.22215977104407186,7,bleak-house-chapter-19,gradesaver
2,0.15759062572060203,7,bleak-house-chapter-40,gradesaver
3,0.18293414590382134,4,bleak-house-chapter-42,gradesaver
4,0.220415084949172,6,bleak-house-chapter-61,gradesaver
5,0.27532744427021477,4,bleak-house-chapter-62,gradesaver
6,0.1597202265605967,8,bleak-house-chapter-1,shmoop
7,0.15918444301427156,10,bleak-house-chapter-2,shmoop
8,0.16898129933884096,19,bleak-house-chapter-3,shmoop
9,0.15389407426784898,14,bleak-house-chapter-4,shmoop
10,0.1498368131372646,19,bleak-house-chapter-5,shmoop
11,0.13802414545024308,14,bleak-house-chapter-6,shmoop
12,0.15857528082856429,14,bleak-house-chapter-7,shmoop
13,0.1504923290427981,18,bleak-house-chapter-8,shmoop
14,0.14892314901582074,12,bleak-house-chapter-9,shmoop
15,0.1558036043702975,8,bleak-house-chapter-10,shmoop
16,0.16858136441965296,14,bleak-house-chapter-11,shmoop
17,0.17995305317940277,12,bleak-house-chapter-12,shmoop
18,0.10729304994056886,15,bleak-house-chapter-13,shmoop
19,0.145698180350911,16,bleak-house-chapter-14,shmoop
20,0.15305574945383182,14,bleak-house-chapter-15,shmoop
21,0.1320882205257263,10,bleak-house-chapter-16,shmoop
22,0.1616769912370819,12,bleak-house-chapter-17,shmoop
23,0.15481189416398702,18,bleak-house-chapter-18,shmoop
24,0.19244802200390226,9,bleak-house-chapter-19,shmoop
25,0.17526865865256408,9,bleak-house-chapter-20,shmoop
26,0.15658300921109822,8,bleak-house-chapter-21,shmoop
27,0.15264174344220358,14,bleak-house-chapter-22,shmoop
28,0.16004328513037056,13,bleak-house-chapter-23,shmoop
29,0.1586415461872915,20,bleak-house-chapter-24,shmoop
30,0.14981912380184356,8,bleak-house-chapter-25,shmoop
31,0.15769327026531907,11,bleak-house-chapter-26,shmoop
32,0.17804498501873378,10,bleak-house-chapter-27,shmoop
33,0.15636965307206852,8,bleak-house-chapter-28,shmoop
34,0.16315302082890717,13,bleak-house-chapter-29,shmoop
35,0.17118016548943374,15,bleak-house-chapter-30,shmoop
36,0.15242469998851413,14,bleak-house-chapter-31,shmoop
37,0.17354325667884288,9,bleak-house-chapter-32,shmoop
38,0.15298981801607073,10,bleak-house-chapter-33,shmoop
39,0.15941908691377446,12,bleak-house-chapter-34,shmoop
40,0.14932629427428545,14,bleak-house-chapter-35,shmoop
41,0.16166370368969188,13,bleak-house-chapter-36,shmoop
42,0.17241901197979137,14,bleak-house-chapter-37,shmoop
43,0.1351209041949575,7,bleak-house-chapter-38,shmoop
44,0.13256978691107693,8,bleak-house-chapter-39,shmoop
45,0.15438246801188255,8,bleak-house-chapter-40,shmoop
46,0.15725298627956721,7,bleak-house-chapter-41,shmoop
47,0.16442462608688457,9,bleak-house-chapter-42,shmoop
48,0.1642397232486946,11,bleak-house-chapter-43,shmoop
49,0.13414676469490971,11,bleak-house-chapter-44,shmoop
50,0.14773796296262823,13,bleak-house-chapter-45,shmoop
51,0.17288166989126966,11,bleak-house-chapter-46,shmoop
