,bert,number of Unique sentences,chapter-title,source
4715,0.630431056022644,4,kidnapped-chapter-13,novelguide
4716,0.7031118869781494,8,kidnapped-chapter-14,novelguide
4717,0.5715070962905884,9,kidnapped-chapter-15,novelguide
4718,0.6876248717308044,11,kidnapped-chapter-16,novelguide
4719,0.6395536065101624,8,kidnapped-chapter-17,novelguide
4720,0.6919367909431458,6,kidnapped-chapter-18,novelguide
4721,0.6813106536865234,5,kidnapped-chapter-19,novelguide
4722,0.619688093662262,5,kidnapped-chapter-20,novelguide
4723,0.673401415348053,7,kidnapped-chapter-21,novelguide
4724,0.6468610167503357,7,kidnapped-chapter-22,novelguide
4725,0.6949805617332458,9,kidnapped-chapter-23,novelguide
4726,0.719706118106842,8,kidnapped-chapter-24,novelguide
4727,0.6745011806488037,10,kidnapped-chapter-25,novelguide
4728,0.6206896305084229,7,kidnapped-chapter-26,novelguide
4729,0.6212249398231506,3,kidnapped-chapter-27,novelguide
4730,0.6608951687812805,4,kidnapped-chapter-28,novelguide
4731,0.7162137031555176,8,kidnapped-chapter-29,novelguide
4732,0.6868244409561157,5,kidnapped-chapter-30,novelguide
4733,0.7022541761398315,7,dr--jekyll-and-mr--hyde-chapter-1,gradesaver
4734,0.7658185362815857,12,dr--jekyll-and-mr--hyde-chapter-2,gradesaver
4735,0.7785308361053467,5,dr--jekyll-and-mr--hyde-chapter-3,gradesaver
4736,0.6864120960235596,9,dr--jekyll-and-mr--hyde-chapter-4,gradesaver
4737,0.7491583228111267,8,dr--jekyll-and-mr--hyde-chapter-5,gradesaver
4738,0.7438445091247559,8,dr--jekyll-and-mr--hyde-chapter-6,gradesaver
4739,0.6676204800605774,6,dr--jekyll-and-mr--hyde-chapter-7,gradesaver
4740,0.6860766410827637,13,dr--jekyll-and-mr--hyde-chapter-8,gradesaver
4741,0.6597459316253662,14,dr--jekyll-and-mr--hyde-chapter-1,cliffnotes
4742,0.6608806252479553,15,dr--jekyll-and-mr--hyde-chapter-2,cliffnotes
4743,0.649202287197113,9,dr--jekyll-and-mr--hyde-chapter-3,cliffnotes
4744,0.6565135717391968,10,dr--jekyll-and-mr--hyde-chapter-4,cliffnotes
4745,0.6830117702484131,12,dr--jekyll-and-mr--hyde-chapter-5,cliffnotes
4746,0.6990580558776855,13,dr--jekyll-and-mr--hyde-chapter-6,cliffnotes
4747,0.6678344011306763,7,dr--jekyll-and-mr--hyde-chapter-7,cliffnotes
4748,0.6530205607414246,13,dr--jekyll-and-mr--hyde-chapter-8,cliffnotes
4749,0.5960156917572021,10,dr--jekyll-and-mr--hyde-chapter-9,cliffnotes
4750,0.66266268491745,23,dr--jekyll-and-mr--hyde-chapter-10,cliffnotes
4751,0.6281984448432922,12,dr--jekyll-and-mr--hyde-chapter-1,sparknotes
4752,0.7508373856544495,12,dr--jekyll-and-mr--hyde-chapter-2,sparknotes
4753,0.7096592783927917,5,dr--jekyll-and-mr--hyde-chapter-3,sparknotes
4754,0.6841152310371399,6,dr--jekyll-and-mr--hyde-chapter-4,sparknotes
4755,0.7574304342269897,6,dr--jekyll-and-mr--hyde-chapter-5,sparknotes
4756,0.7371814250946045,11,dr--jekyll-and-mr--hyde-chapter-6,sparknotes
4757,0.6799657344818115,5,dr--jekyll-and-mr--hyde-chapter-7,sparknotes
4758,0.712360680103302,11,dr--jekyll-and-mr--hyde-chapter-8,sparknotes
4759,0.6455862522125244,9,dr--jekyll-and-mr--hyde-chapter-9,sparknotes
4760,0.717627227306366,17,dr--jekyll-and-mr--hyde-chapter-10,sparknotes
4761,0.662381649017334,14,dr--jekyll-and-mr--hyde-chapter-1,pinkmonkey
4762,0.7066025733947754,13,dr--jekyll-and-mr--hyde-chapter-2,pinkmonkey
4763,0.7117235660552979,8,dr--jekyll-and-mr--hyde-chapter-3,pinkmonkey
4764,0.6236465573310852,10,dr--jekyll-and-mr--hyde-chapter-4,pinkmonkey
4765,0.7103717923164368,10,dr--jekyll-and-mr--hyde-chapter-5,pinkmonkey
4766,0.7029227018356323,12,dr--jekyll-and-mr--hyde-chapter-6,pinkmonkey
4767,0.6622834205627441,8,dr--jekyll-and-mr--hyde-chapter-7,pinkmonkey
4768,0.7062605619430542,10,dr--jekyll-and-mr--hyde-chapter-8,pinkmonkey
4769,0.6529082655906677,8,dr--jekyll-and-mr--hyde-chapter-9,pinkmonkey
4770,0.7103702425956726,16,dr--jekyll-and-mr--hyde-chapter-10,pinkmonkey
4771,0.6295050978660583,12,dr--jekyll-and-mr--hyde-chapter-1,novelguide
4772,0.7343699932098389,12,dr--jekyll-and-mr--hyde-chapter-2,novelguide
4773,0.7075209021568298,7,dr--jekyll-and-mr--hyde-chapter-3,novelguide
4774,0.7150776386260986,9,dr--jekyll-and-mr--hyde-chapter-4,novelguide
4775,0.6896181106567383,10,dr--jekyll-and-mr--hyde-chapter-5,novelguide
4776,0.7027722597122192,13,dr--jekyll-and-mr--hyde-chapter-6,novelguide
4777,0.6427116990089417,7,dr--jekyll-and-mr--hyde-chapter-7,novelguide
