,bert,number of Unique sentences,chapter-title,source
4406,0.6128890514373779,9,Romeo and Juliet.act 1.scene 3,shmoop
4407,0.700180172920227,7,Romeo and Juliet.act 1.scene 4,shmoop
4408,0.6263328194618225,14,Romeo and Juliet.act 1.scene 5,shmoop
4409,0.48452234268188477,4,Romeo and Juliet.act 2.scene 1,shmoop
4410,0.595466136932373,11,Romeo and Juliet.act 2.scene 2,shmoop
4411,0.6316453218460083,8,Romeo and Juliet.act 2.scene 3,shmoop
4412,0.5813615918159485,3,Romeo and Juliet.act 2.scene 4,shmoop
4413,0.7231810092926025,3,Romeo and Juliet.act 2.scene 5,shmoop
4414,0.4921616017818451,2,Romeo and Juliet.act 2.scene 6,shmoop
4415,0.6942423582077026,13,Romeo and Juliet.act 3.scene 1,shmoop
4416,0.7002217173576355,8,Romeo and Juliet.act 3.scene 2,shmoop
4417,0.6319932341575623,7,Romeo and Juliet.act 3.scene 3,shmoop
4418,0.5980992317199707,4,Romeo and Juliet.act 3.scene 4,shmoop
4419,0.654826819896698,13,Romeo and Juliet.act 3.scene 5,shmoop
4420,0.6471664905548096,12,Romeo and Juliet.act 4.scene 1,shmoop
4421,0.7210088968276978,2,Romeo and Juliet.act 4.scene 2,shmoop
4422,0.7099972367286682,2,Romeo and Juliet.act 4.scene 3,shmoop
4423,0.47902047634124756,2,Romeo and Juliet.act 4.scene 4,shmoop
4424,0.5420582294464111,4,Romeo and Juliet.act 4.scene 5,shmoop
4425,0.6683982610702515,8,Romeo and Juliet.act 5.scene 1,shmoop
4426,0.5640441179275513,4,Romeo and Juliet.act 5.scene 2,shmoop
4427,0.6734548807144165,23,Romeo and Juliet.act 5.scene 3,shmoop
4428,0.7514097690582275,6,Romeo and Juliet.act 1.scene 1,cliffnotes
4429,0.7420293092727661,7,Romeo and Juliet.act 1.scene 2,cliffnotes
4430,0.8430389165878296,2,Romeo and Juliet.act 1.scene 3,cliffnotes
4431,0.7432764768600464,5,Romeo and Juliet.act 1.scene 4,cliffnotes
4432,0.769309401512146,7,Romeo and Juliet.act 1.scene 5,cliffnotes
4433,0.6084499955177307,3,Romeo and Juliet.act 2.scene 1,cliffnotes
4434,0.6797661781311035,6,Romeo and Juliet.act 2.scene 2,cliffnotes
4435,0.6822532415390015,4,Romeo and Juliet.act 2.scene 3,cliffnotes
4436,0.6818510293960571,3,Romeo and Juliet.act 2.scene 4,cliffnotes
4437,0.6944049000740051,3,Romeo and Juliet.act 2.scene 5,cliffnotes
4438,0.6915886998176575,3,Romeo and Juliet.act 2.scene 6,cliffnotes
4439,0.8013596534729004,7,Romeo and Juliet.act 3.scene 1,cliffnotes
4440,0.8126000165939331,4,Romeo and Juliet.act 3.scene 2,cliffnotes
4441,0.7953127026557922,6,Romeo and Juliet.act 3.scene 3,cliffnotes
4442,0.7035550475120544,4,Romeo and Juliet.act 3.scene 4,cliffnotes
4443,0.8010814189910889,8,Romeo and Juliet.act 3.scene 5,cliffnotes
4444,0.7622778415679932,5,Romeo and Juliet.act 4.scene 1,cliffnotes
4445,0.6995108127593994,3,Romeo and Juliet.act 4.scene 2,cliffnotes
4446,0.5925391912460327,3,Romeo and Juliet.act 4.scene 3,cliffnotes
4447,0.4419184923171997,2,Romeo and Juliet.act 4.scene 4,cliffnotes
4448,0.5869591236114502,2,Romeo and Juliet.act 4.scene 5,cliffnotes
4449,0.7708401679992676,5,Romeo and Juliet.act 5.scene 1,cliffnotes
