,rouge-1n,number of Unique sentences,chapter-title,source
0,0.35129697433787593,7,The-Last-of-the-Mohicans-chapter-3,cliffnotes
1,0.31741199558763333,9,The-Last-of-the-Mohicans-chapter-4,cliffnotes
2,0.298854549967082,9,The-Last-of-the-Mohicans-chapter-5,cliffnotes
3,0.29078256297012134,11,The-Last-of-the-Mohicans-chapter-6,cliffnotes
4,0.24882598002170017,6,The-Last-of-the-Mohicans-chapter-9,cliffnotes
5,0.29002579424366753,7,The-Last-of-the-Mohicans-chapter-12,cliffnotes
6,0.20649416748959207,5,The-Last-of-the-Mohicans-chapter-15,cliffnotes
7,0.29068703774633436,8,The-Last-of-the-Mohicans-chapter-16,cliffnotes
8,0.23251959339440423,6,The-Last-of-the-Mohicans-chapter-17,cliffnotes
9,0.3131580162685576,6,The-Last-of-the-Mohicans-chapter-22,cliffnotes
10,0.32106421655686496,9,The-Last-of-the-Mohicans-chapter-25,cliffnotes
11,0.37175119716056126,6,The-Last-of-the-Mohicans-chapter-26,cliffnotes
12,0.2677428233005632,7,The-Last-of-the-Mohicans-chapter-27,cliffnotes
13,0.3443523671975178,7,The-Last-of-the-Mohicans-chapter-30,cliffnotes
14,0.37361026576785045,9,The-Last-of-the-Mohicans-chapter-31,cliffnotes
15,0.2831663943909023,12,The-Last-of-the-Mohicans-chapter-32,cliffnotes
16,0.27621041787928596,9,The-Last-of-the-Mohicans-chapter-33,cliffnotes
17,0.2694765523789017,6,The-Last-of-the-Mohicans-chapter-3,sparknotes
18,0.27623153193496425,9,The-Last-of-the-Mohicans-chapter-4,sparknotes
19,0.2760384229046525,9,The-Last-of-the-Mohicans-chapter-5,sparknotes
20,0.2627363722344359,11,The-Last-of-the-Mohicans-chapter-6,sparknotes
21,0.2346925680224087,8,The-Last-of-the-Mohicans-chapter-9,sparknotes
22,0.3124861580596965,6,The-Last-of-the-Mohicans-chapter-12,sparknotes
23,0.28101009627471696,4,The-Last-of-the-Mohicans-chapter-15,sparknotes
24,0.28149141120054555,8,The-Last-of-the-Mohicans-chapter-16,sparknotes
25,0.23181484144878828,7,The-Last-of-the-Mohicans-chapter-17,sparknotes
26,0.3733688110459254,6,The-Last-of-the-Mohicans-chapter-22,sparknotes
27,0.31006628921960616,8,The-Last-of-the-Mohicans-chapter-25,sparknotes
28,0.3666392534480073,6,The-Last-of-the-Mohicans-chapter-26,sparknotes
29,0.26638039653066975,8,The-Last-of-the-Mohicans-chapter-27,sparknotes
30,0.31929649828747897,8,The-Last-of-the-Mohicans-chapter-30,sparknotes
31,0.34379484422738454,8,The-Last-of-the-Mohicans-chapter-31,sparknotes
32,0.2824457786209311,13,The-Last-of-the-Mohicans-chapter-32,sparknotes
33,0.3134643856198355,8,The-Last-of-the-Mohicans-chapter-33,sparknotes
34,0.24365127204169013,7,Dracula-chapter-1,gradesaver
35,0.26570938563749696,13,Dracula-chapter-2,gradesaver
36,0.26650794721778326,12,Dracula-chapter-3,gradesaver
37,0.2683668257408699,22,Dracula-chapter-4,gradesaver
38,0.2778571918288404,5,Dracula-chapter-5,gradesaver
39,0.2422260314794698,11,Dracula-chapter-6,gradesaver
40,0.28231783881668504,11,Dracula-chapter-7,gradesaver
41,0.267262688729906,14,Dracula-chapter-8,gradesaver
42,0.2688448803605712,13,Dracula-chapter-9,gradesaver
43,0.3116511395293567,7,Dracula-chapter-10,gradesaver
44,0.2972482725396917,14,Dracula-chapter-11,gradesaver
45,0.2608118931115686,20,Dracula-chapter-12,gradesaver
46,0.2634646554771068,9,Dracula-chapter-13,gradesaver
47,0.28671360655690625,9,Dracula-chapter-14,gradesaver
48,0.2766306068873158,7,Dracula-chapter-15,gradesaver
49,0.26634283791358154,12,Dracula-chapter-16,gradesaver
50,0.25534175551927873,6,Dracula-chapter-17,gradesaver
51,0.2496448125461176,7,Dracula-chapter-18,gradesaver
52,0.2209249948880614,12,Dracula-chapter-19,gradesaver
53,0.2545942970877849,10,Dracula-chapter-20,gradesaver
54,0.28397921205222215,10,Dracula-chapter-21,gradesaver
55,0.2392615478767281,8,Dracula-chapter-22,gradesaver
56,0.24726453652062536,10,Dracula-chapter-23,gradesaver
57,0.24889837295664508,11,Dracula-chapter-24,gradesaver
58,0.26529436521106414,8,Dracula-chapter-25,gradesaver
59,0.24052053858531633,11,Dracula-chapter-26,gradesaver
60,0.2520326919476344,13,Dracula-chapter-27,gradesaver
61,0.2300195478021488,7,Dracula-chapter-1,shmoop
62,0.25654418256424766,15,Dracula-chapter-2,shmoop
63,0.25048624399264774,15,Dracula-chapter-3,shmoop
64,0.27734953625647507,19,Dracula-chapter-4,shmoop
65,0.23003401447406055,10,Dracula-chapter-5,shmoop
66,0.24066132857479536,11,Dracula-chapter-6,shmoop
67,0.23429415391538935,12,Dracula-chapter-7,shmoop
68,0.2515534444569117,17,Dracula-chapter-8,shmoop
69,0.2248883786787732,17,Dracula-chapter-9,shmoop
70,0.2527267901105805,13,Dracula-chapter-10,shmoop
71,0.26007260299361173,19,Dracula-chapter-11,shmoop
72,0.23012362552427557,19,Dracula-chapter-12,shmoop
73,0.24297535807532716,9,Dracula-chapter-13,shmoop
74,0.2573593405697815,8,Dracula-chapter-14,shmoop
75,0.24461716384454374,8,Dracula-chapter-15,shmoop
76,0.24419647173718095,13,Dracula-chapter-16,shmoop
77,0.20047004167793597,6,Dracula-chapter-17,shmoop
78,0.22453623797639824,8,Dracula-chapter-18,shmoop
79,0.19827077616093708,12,Dracula-chapter-19,shmoop
80,0.2202790798665772,9,Dracula-chapter-20,shmoop
81,0.24746111458229256,10,Dracula-chapter-21,shmoop
82,0.19610988709187857,13,Dracula-chapter-22,shmoop
83,0.20812420796380207,10,Dracula-chapter-23,shmoop
84,0.23033809813650133,10,Dracula-chapter-24,shmoop
85,0.19597994025033633,12,Dracula-chapter-25,shmoop
86,0.19576091260764958,14,Dracula-chapter-26,shmoop
87,0.23884911916489393,16,Dracula-chapter-27,shmoop
88,0.2221971796591502,6,Dracula-chapter-1,cliffnotes
89,0.26410504257245515,6,Dracula-chapter-1,sparknotes
90,0.25951682782330737,12,Dracula-chapter-2,sparknotes
91,0.2963288200356752,10,Dracula-chapter-3,sparknotes
92,0.26852019880054434,15,Dracula-chapter-4,sparknotes
93,0.25047675888279286,7,Dracula-chapter-5,sparknotes
94,0.2618847793397721,9,Dracula-chapter-6,sparknotes
95,0.2788371382753802,10,Dracula-chapter-7,sparknotes
96,0.29300695004151145,12,Dracula-chapter-8,sparknotes
97,0.27603820424404657,12,Dracula-chapter-9,sparknotes
98,0.30742268742089873,9,Dracula-chapter-10,sparknotes
99,0.3055195203944676,12,Dracula-chapter-11,sparknotes
100,0.2712468473707287,13,Dracula-chapter-12,sparknotes
101,0.2725852942513052,11,Dracula-chapter-13,sparknotes
102,0.28873172269288255,5,Dracula-chapter-14,sparknotes
103,0.29292553852272285,6,Dracula-chapter-15,sparknotes
104,0.29330222795769767,8,Dracula-chapter-16,sparknotes
105,0.265130271248203,5,Dracula-chapter-17,sparknotes
106,0.2365710593023318,4,Dracula-chapter-18,sparknotes
107,0.2614763597267662,8,Dracula-chapter-19,sparknotes
108,0.2505680680193697,8,Dracula-chapter-20,sparknotes
109,0.27308945476070695,9,Dracula-chapter-21,sparknotes
110,0.24888743120302453,4,Dracula-chapter-22,sparknotes
111,0.24124415207305344,6,Dracula-chapter-23,sparknotes
112,0.27528703098091,4,Dracula-chapter-24,sparknotes
113,0.2723132314151898,7,Dracula-chapter-25,sparknotes
114,0.24446857639606095,6,Dracula-chapter-1,pinkmonkey
115,0.2585133242564362,11,Dracula-chapter-2,pinkmonkey
116,0.2189453885500134,12,Dracula-chapter-3,pinkmonkey
117,0.2751240100459121,14,Dracula-chapter-4,pinkmonkey
118,0.25135149610564056,5,Dracula-chapter-5,pinkmonkey
119,0.2548055404592411,7,Dracula-chapter-6,pinkmonkey
120,0.24632318422547145,8,Dracula-chapter-7,pinkmonkey
121,0.2625885322239743,11,Dracula-chapter-8,pinkmonkey
122,0.2564807943605761,12,Dracula-chapter-9,pinkmonkey
123,0.24497836285057062,9,Dracula-chapter-10,pinkmonkey
124,0.25722491918859186,13,Dracula-chapter-11,pinkmonkey
125,0.2574242388347915,7,Dracula-chapter-12,pinkmonkey
126,0.25818864392074725,4,Dracula-chapter-13,pinkmonkey
127,0.2564000597433489,5,Dracula-chapter-14,pinkmonkey
