,chrf,number of Unique sentences,chapter-title,source
102,0.08595398567778179,7,Jane Eyre.volume 1.chapter 6,shmoop
103,0.09841344405565255,8,Jane Eyre.volume 1.chapter 7,shmoop
104,0.12272851373617899,9,Jane Eyre.volume 1.chapter 8,shmoop
105,0.10880212465915347,10,Jane Eyre.volume 1.chapter 9,shmoop
106,0.10549073748389838,14,Jane Eyre.volume 1.chapter 10,shmoop
107,0.1079522271910278,17,Jane Eyre.volume 1.chapter 11,shmoop
108,0.10393166906027855,11,Jane Eyre.volume 1.chapter 12,shmoop
109,0.10463842621080299,9,Jane Eyre.volume 1.chapter 13,shmoop
110,0.08603432782482254,7,Jane Eyre.volume 1.chapter 14,shmoop
111,0.1148646958633952,16,Jane Eyre.volume 1.chapter 15,shmoop
112,0.11214894928012742,5,Jane Eyre.volume 1.chapter 1,cliffnotes
113,0.11732951197790845,10,Jane Eyre.volume 1.chapter 4,cliffnotes
114,0.11400218356000329,10,Jane Eyre.volume 1.chapter 5,cliffnotes
115,0.13641851421075835,6,Jane Eyre.volume 1.chapter 8,cliffnotes
116,0.118822443729696,10,Jane Eyre.volume 1.chapter 9,cliffnotes
117,0.10319732345916766,8,Jane Eyre.volume 1.chapter 10,cliffnotes
118,0.12818371437401824,11,Jane Eyre.volume 1.chapter 11,cliffnotes
119,0.10081734131657688,8,Jane Eyre.volume 1.chapter 12,cliffnotes
120,0.11364541398765893,7,Jane Eyre.volume 1.chapter 13,cliffnotes
121,0.0898437397559457,7,Jane Eyre.volume 2.chapter 16,cliffnotes
122,0.12505866563651383,8,Jane Eyre.volume 2.chapter 17,cliffnotes
123,0.11956386067648285,13,Jane Eyre.volume 2.chapter 20,cliffnotes
124,0.12760537773295524,11,Jane Eyre.volume 2.chapter 21,cliffnotes
125,0.0912160491360492,5,Jane Eyre.volume 2.chapter 22,cliffnotes
126,0.11251812657498084,8,Jane Eyre.volume 2.chapter 23,cliffnotes
127,0.1171150920654586,9,Jane Eyre.volume 3.chapter 26,cliffnotes
128,0.15606035864297652,12,Jane Eyre.volume 3.chapter 27,cliffnotes
129,0.12539518831204965,11,Jane Eyre.volume 3.chapter 30,cliffnotes
130,0.09057688707496311,9,Jane Eyre.volume 3.chapter 31,cliffnotes
131,0.09455117534379796,10,Jane Eyre.volume 3.chapter 32,cliffnotes
132,0.12763220938103464,8,Jane Eyre.volume 3.chapter 33,cliffnotes
133,0.1260263650008936,12,Jane Eyre.volume 3.chapter 34,cliffnotes
134,0.17471617999390443,11,Jane Eyre.volume 3.chapter 35,cliffnotes
135,0.11297752872394765,10,Jane Eyre.volume 3.chapter 36,cliffnotes
136,0.21378835951091882,8,Jane Eyre.volume 3.chapter 37,cliffnotes
137,0.10912536481892557,7,Jane Eyre.volume 3.chapter 38,cliffnotes
138,0.1025568621039218,4,Jane Eyre.volume 1.chapter 1,sparknotes
139,0.1530520875589819,3,Jane Eyre.volume 1.chapter 2,sparknotes
140,0.1327634895614679,6,Jane Eyre.volume 1.chapter 3,sparknotes
141,0.12184436076887123,8,Jane Eyre.volume 1.chapter 4,sparknotes
142,0.13261976230040945,5,Jane Eyre.volume 1.chapter 5,sparknotes
143,0.1106877773323189,3,Jane Eyre.volume 1.chapter 6,sparknotes
144,0.14939005295540378,4,Jane Eyre.volume 1.chapter 7,sparknotes
145,0.1293049117292633,6,Jane Eyre.volume 1.chapter 8,sparknotes
146,0.12683635587414807,5,Jane Eyre.volume 1.chapter 9,sparknotes
147,0.11610653169945429,7,Jane Eyre.volume 1.chapter 10,sparknotes
148,0.10108781630663338,5,Jane Eyre.volume 2.chapter 16,sparknotes
149,0.12383803087950111,7,Jane Eyre.volume 2.chapter 17,sparknotes
150,0.13800916885712533,6,Jane Eyre.volume 2.chapter 18,sparknotes
151,0.12872301600819153,5,Jane Eyre.volume 2.chapter 19,sparknotes
152,0.1281591376019595,11,Jane Eyre.volume 2.chapter 20,sparknotes
153,0.12626333264730527,10,Jane Eyre.volume 2.chapter 21,sparknotes
154,0.09870889404433104,5,Jane Eyre.volume 2.chapter 22,sparknotes
155,0.12216781684928088,9,Jane Eyre.volume 2.chapter 23,sparknotes
156,0.09086234290323697,5,Jane Eyre.volume 2.chapter 24,sparknotes
157,0.12463443970819299,6,Jane Eyre.volume 2.chapter 25,sparknotes
158,0.11389996784326363,13,Jane Eyre.volume 3.chapter 26,sparknotes
159,0.15672822206019496,14,Jane Eyre.volume 3.chapter 27,sparknotes
160,0.10323237198759103,9,Jane Eyre.volume 3.chapter 28,sparknotes
161,0.08672513183350339,5,Jane Eyre.volume 3.chapter 29,sparknotes
162,0.10988083906230739,5,Jane Eyre.volume 3.chapter 30,sparknotes
163,0.09629605687253473,4,Jane Eyre.volume 3.chapter 31,sparknotes
164,0.10337837475045643,9,Jane Eyre.volume 3.chapter 32,sparknotes
165,0.1276866651291475,7,Jane Eyre.volume 3.chapter 33,sparknotes
166,0.1364956784228161,10,Jane Eyre.volume 3.chapter 34,sparknotes
167,0.23113867092664542,6,Jane Eyre.volume 3.chapter 35,sparknotes
168,0.11870077388404769,7,Jane Eyre.volume 3.chapter 36,sparknotes
169,0.18406943558937305,9,Jane Eyre.volume 3.chapter 37,sparknotes
170,0.11620828582586339,5,Jane Eyre.volume 3.chapter 38,sparknotes
171,0.11928779287061594,10,Jane Eyre.volume 2.chapter 19,bookwolf
172,0.12947007827283274,6,Jane Eyre.volume 2.chapter 20,bookwolf
173,0.1309758412547307,12,Jane Eyre.volume 2.chapter 21,bookwolf
174,0.08637250953787294,6,Jane Eyre.volume 2.chapter 22,bookwolf
175,0.1263877444695882,9,Jane Eyre.volume 3.chapter 26,bookwolf
176,0.10397920660936083,4,Jane Eyre.volume 1.chapter 1,novelguide
177,0.16673707754078912,4,Jane Eyre.volume 1.chapter 2,novelguide
178,0.13323821075451617,5,Jane Eyre.volume 1.chapter 3,novelguide
179,0.14240677007756297,6,Jane Eyre.volume 1.chapter 4,novelguide
180,0.10804575780250134,5,Jane Eyre.volume 1.chapter 5,novelguide
181,0.10485268740496444,5,Jane Eyre.volume 1.chapter 6,novelguide
182,0.14002533436408873,5,Jane Eyre.volume 1.chapter 7,novelguide
183,0.13048116311375801,6,Jane Eyre.volume 1.chapter 8,novelguide
184,0.11354126061778183,7,Jane Eyre.volume 1.chapter 9,novelguide
185,0.11414388566032235,7,Jane Eyre.volume 1.chapter 10,novelguide
186,0.13038099244875792,12,Jane Eyre.volume 1.chapter 11,novelguide
187,0.11839715494095147,8,Jane Eyre.volume 1.chapter 12,novelguide
188,0.11508344975926998,6,Jane Eyre.volume 1.chapter 13,novelguide
189,0.1299397484735572,6,Jane Eyre.volume 1.chapter 14,novelguide
190,0.13455439209173234,14,Jane Eyre.volume 1.chapter 15,novelguide
191,0.09773877176290965,4,Jane Eyre.volume 2.chapter 16,novelguide
192,0.11076622359593452,9,Jane Eyre.volume 2.chapter 17,novelguide
193,0.09868967644080745,7,Jane Eyre.volume 2.chapter 18,novelguide
194,0.11862344077654674,6,Jane Eyre.volume 2.chapter 19,novelguide
195,0.11919317604386276,8,Jane Eyre.volume 2.chapter 20,novelguide
196,0.1271468051826766,9,Jane Eyre.volume 2.chapter 21,novelguide
197,0.10121402213799796,6,Jane Eyre.volume 2.chapter 22,novelguide
198,0.10956356827912311,7,Jane Eyre.volume 2.chapter 23,novelguide
199,0.08641670876247326,6,Jane Eyre.volume 2.chapter 24,novelguide
200,0.13388189276473364,7,Jane Eyre.volume 2.chapter 25,novelguide
201,0.11497188209331106,11,Jane Eyre.volume 3.chapter 26,novelguide
202,0.16405282167517982,12,Jane Eyre.volume 3.chapter 27,novelguide
203,0.10607948356631668,10,Jane Eyre.volume 3.chapter 28,novelguide
204,0.08038196711458058,6,Jane Eyre.volume 3.chapter 29,novelguide
205,0.12338457508760817,7,Jane Eyre.volume 3.chapter 30,novelguide
206,0.09520589770300872,5,Jane Eyre.volume 3.chapter 31,novelguide
207,0.0961160245999763,7,Jane Eyre.volume 3.chapter 32,novelguide
208,0.12363190221745993,7,Jane Eyre.volume 3.chapter 33,novelguide
209,0.12418704569075595,10,Jane Eyre.volume 3.chapter 34,novelguide
210,0.19976951845717783,7,Jane Eyre.volume 3.chapter 35,novelguide
211,0.1134503169259154,6,Jane Eyre.volume 3.chapter 36,novelguide
212,0.20203008004835601,10,Jane Eyre.volume 3.chapter 37,novelguide
