,bleu,number of Unique sentences,chapter-title,source
1395,0.2354427355548192,7,The Scarlet Letter.chapter 15,shmoop
1396,0.3065466992609641,6,The Scarlet Letter.chapter 16,shmoop
1397,0.224310289867794,9,The Scarlet Letter.chapter 17,shmoop
1398,0.2209712190600926,7,The Scarlet Letter.chapter 18,shmoop
1399,0.2856734017550668,7,The Scarlet Letter.chapter 19,shmoop
1400,0.23095891214590977,12,The Scarlet Letter.chapter 20,shmoop
1401,0.1831341889919128,5,The Scarlet Letter.chapter 21,shmoop
1402,0.24956482315135226,13,The Scarlet Letter.chapter 22,shmoop
1403,0.2675462344757432,10,The Scarlet Letter.chapter 23,shmoop
1404,0.26973309158643566,14,The Scarlet Letter.chapter 24,shmoop
1405,0.2452630687978103,3,The Scarlet Letter.chapter 1,cliffnotes
1406,0.2926708451872925,3,The Scarlet Letter.chapter 2,cliffnotes
1407,0.2939480524382174,8,The Scarlet Letter.chapter 3,cliffnotes
1408,0.28610249201712823,5,The Scarlet Letter.chapter 4,cliffnotes
1409,0.3155369554857782,5,The Scarlet Letter.chapter 5,cliffnotes
1410,0.28292972197329813,7,The Scarlet Letter.chapter 6,cliffnotes
1411,0.29031160053272365,5,The Scarlet Letter.chapter 7,cliffnotes
1412,0.314988947667044,11,The Scarlet Letter.chapter 8,cliffnotes
1413,0.26153687648193324,4,The Scarlet Letter.chapter 9,cliffnotes
1414,0.30693873870085564,10,The Scarlet Letter.chapter 10,cliffnotes
1415,0.2750173163878815,3,The Scarlet Letter.chapter 11,cliffnotes
1416,0.32866878065145855,8,The Scarlet Letter.chapter 12,cliffnotes
1417,0.22270613307677134,4,The Scarlet Letter.chapter 13,cliffnotes
1418,0.27156525901423545,5,The Scarlet Letter.chapter 14,cliffnotes
1419,0.3130106134630394,4,The Scarlet Letter.chapter 15,cliffnotes
1420,0.27847430315269195,8,The Scarlet Letter.chapter 16,cliffnotes
1421,0.2544297362339964,6,The Scarlet Letter.chapter 17,cliffnotes
1422,0.24860009993132903,4,The Scarlet Letter.chapter 18,cliffnotes
1423,0.3097899797766114,8,The Scarlet Letter.chapter 19,cliffnotes
1424,0.28577469628415214,12,The Scarlet Letter.chapter 20,cliffnotes
1425,0.2300931228964188,5,The Scarlet Letter.chapter 21,cliffnotes
1426,0.26152354260602406,12,The Scarlet Letter.chapter 22,cliffnotes
1427,0.285880492875163,12,The Scarlet Letter.chapter 23,cliffnotes
1428,0.2858128809953743,12,The Scarlet Letter.chapter 24,cliffnotes
1429,0.24474565680363738,3,The Scarlet Letter.chapter 1,sparknotes
1430,0.24822753581776902,4,The Scarlet Letter.chapter 2,sparknotes
1431,0.30702444200905477,7,The Scarlet Letter.chapter 3,sparknotes
1432,0.2719118461509249,3,The Scarlet Letter.chapter 4,sparknotes
1433,0.28011579111384,4,The Scarlet Letter.chapter 5,sparknotes
1434,0.2961649557145206,7,The Scarlet Letter.chapter 6,sparknotes
1435,0.2916797787479075,5,The Scarlet Letter.chapter 7,sparknotes
1436,0.3213904998175061,9,The Scarlet Letter.chapter 8,sparknotes
1437,0.2570169754598967,6,The Scarlet Letter.chapter 9,sparknotes
1438,0.2844559013170584,9,The Scarlet Letter.chapter 10,sparknotes
1439,0.26024516868857034,4,The Scarlet Letter.chapter 11,sparknotes
1440,0.2881769427981705,11,The Scarlet Letter.chapter 12,sparknotes
1441,0.24699804581375956,3,The Scarlet Letter.chapter 13,sparknotes
1442,0.25372749806557593,6,The Scarlet Letter.chapter 14,sparknotes
1443,0.2955026265106582,4,The Scarlet Letter.chapter 15,sparknotes
1444,0.33233596207895044,7,The Scarlet Letter.chapter 16,sparknotes
1445,0.2852129502657861,8,The Scarlet Letter.chapter 17,sparknotes
1446,0.24427171887800025,4,The Scarlet Letter.chapter 18,sparknotes
1447,0.3538928057014219,7,The Scarlet Letter.chapter 19,sparknotes
1448,0.3039395397070893,7,The Scarlet Letter.chapter 20,sparknotes
1449,0.21441157912931574,5,The Scarlet Letter.chapter 21,sparknotes
1450,0.2728107325640714,11,The Scarlet Letter.chapter 22,sparknotes
1451,0.30417650890048176,10,The Scarlet Letter.chapter 23,sparknotes
1452,0.30928779221545255,11,The Scarlet Letter.chapter 24,sparknotes
1453,0.30776184452519045,7,Emma.volume 1.chapter 1,gradesaver
1454,0.302050979105554,3,Emma.volume 1.chapter 2,gradesaver
1455,0.3279391448780342,2,Emma.volume 1.chapter 3,gradesaver
1456,0.3055454001316314,4,Emma.volume 1.chapter 4,gradesaver
1457,0.3287809594245203,1,Emma.volume 1.chapter 5,gradesaver
1458,0.3420670162983392,3,Emma.volume 1.chapter 6,gradesaver
1459,0.36110828811669604,3,Emma.volume 1.chapter 7,gradesaver
1460,0.34549783509189574,6,Emma.volume 1.chapter 8,gradesaver
1461,0.3229660861305855,2,Emma.volume 1.chapter 9,gradesaver
1462,0.34868799769196396,4,Emma.volume 1.chapter 10,gradesaver
1463,0.2471503804378632,3,Emma.volume 1.chapter 11,gradesaver
1464,0.25768388624433736,2,Emma.volume 1.chapter 12,gradesaver
1465,0.3045016870541644,4,Emma.volume 1.chapter 13,gradesaver
1466,0.24882109003019903,3,Emma.volume 1.chapter 14,gradesaver
1467,0.2784647131888249,2,Emma.volume 2.chapter 19,gradesaver
1468,0.2834169002609446,4,Emma.volume 2.chapter 20,gradesaver
1469,0.3274389816910594,5,Emma.volume 2.chapter 21,gradesaver
1470,0.2705714874204655,4,Emma.volume 2.chapter 22,gradesaver
1471,0.34583036099490333,3,Emma.volume 2.chapter 23,gradesaver
1472,0.27479171644279854,3,Emma.volume 2.chapter 24,gradesaver
1473,0.3965523915868232,3,Emma.volume 2.chapter 25,gradesaver
1474,0.30530500166085367,8,Emma.volume 2.chapter 26,gradesaver
1475,0.3049831756319164,2,Emma.volume 2.chapter 27,gradesaver
1476,0.2862838894216984,2,Emma.volume 2.chapter 28,gradesaver
1477,0.24832926482066794,1,Emma.volume 2.chapter 29,gradesaver
1478,0.2657897338925639,4,Emma.volume 2.chapter 30,gradesaver
1479,0.29380140660908866,3,Emma.volume 2.chapter 31,gradesaver
1480,0.28528457276245833,3,Emma.volume 2.chapter 32,gradesaver
1481,0.3365815536502293,4,Emma.volume 2.chapter 33,gradesaver
1482,0.2948532850128235,4,Emma.volume 2.chapter 34,gradesaver
1483,0.2888846913336413,2,Emma.volume 2.chapter 35,gradesaver
1484,0.32667281331006254,3,Emma.volume 3.chapter 37,gradesaver
1485,0.3431483603205963,5,Emma.volume 3.chapter 38,gradesaver
1486,0.3145464731488267,2,Emma.volume 3.chapter 39,gradesaver
1487,0.2947213461271427,4,Emma.volume 3.chapter 40,gradesaver
1488,0.3339541805653847,2,Emma.volume 3.chapter 41,gradesaver
1489,0.30756646048029085,5,Emma.volume 3.chapter 42,gradesaver
1490,0.3487657488159832,4,Emma.volume 3.chapter 43,gradesaver
1491,0.2868066046316809,3,Emma.volume 3.chapter 44,gradesaver
1492,0.36787621525367165,5,Emma.volume 3.chapter 45,gradesaver
1493,0.3322685789184731,5,Emma.volume 3.chapter 46,gradesaver
1494,0.32445269391428894,6,Emma.volume 3.chapter 47,gradesaver
1495,0.32052354277596506,3,Emma.volume 3.chapter 48,gradesaver
1496,0.28539850518837356,3,Emma.volume 3.chapter 49,gradesaver
1497,0.32235781566137195,5,Emma.volume 3.chapter 50,gradesaver
1498,0.28781802767104225,3,Emma.volume 3.chapter 51,gradesaver
1499,0.30522709787405006,3,Emma.volume 3.chapter 52,gradesaver
1500,0.287809889717622,3,Emma.volume 3.chapter 53,gradesaver
1501,0.3551384111624307,3,Emma.volume 3.chapter 54,gradesaver
1502,0.3017905210872793,3,Emma.volume 3.chapter 55,gradesaver
1503,0.24291082034926628,6,Emma.volume 1.chapter 1,shmoop
1504,0.21099774582086842,5,Emma.volume 1.chapter 2,shmoop
1505,0.20270518902621726,8,Emma.volume 1.chapter 3,shmoop
1506,0.23995535417454014,6,Emma.volume 1.chapter 4,shmoop
1507,0.26878660118890824,4,Emma.volume 1.chapter 5,shmoop
1508,0.20401739921924675,5,Emma.volume 1.chapter 6,shmoop
1509,0.23260615749892058,7,Emma.volume 1.chapter 7,shmoop
1510,0.2369553905031687,6,Emma.volume 1.chapter 8,shmoop
1511,0.21300792030048712,6,Emma.volume 1.chapter 9,shmoop
1512,0.20403122704323026,6,Emma.volume 1.chapter 10,shmoop
1513,0.17518870277167994,4,Emma.volume 1.chapter 11,shmoop
1514,0.19816609948113395,4,Emma.volume 1.chapter 12,shmoop
1515,0.2858613863917094,4,Emma.volume 1.chapter 13,shmoop
1516,0.1617311017813252,4,Emma.volume 1.chapter 14,shmoop
1517,0.218102848702159,5,Emma.volume 1.chapter 15,shmoop
1518,0.17752765683675453,5,Emma.volume 1.chapter 16,shmoop
1519,0.22498881303430374,6,Emma.volume 1.chapter 17,shmoop
1520,0.2001582073427688,4,Emma.volume 1.chapter 18,shmoop
1521,0.17278849334430232,5,Emma.volume 2.chapter 19,shmoop
1522,0.20864539917671507,10,Emma.volume 2.chapter 20,shmoop
1523,0.21759328319357407,10,Emma.volume 2.chapter 21,shmoop
1524,0.2200062293431828,5,Emma.volume 2.chapter 22,shmoop
1525,0.22716422446891146,9,Emma.volume 2.chapter 23,shmoop
1526,0.20293116118413657,5,Emma.volume 2.chapter 24,shmoop
1527,0.21081885473630427,7,Emma.volume 2.chapter 25,shmoop
1528,0.2317911575418913,15,Emma.volume 2.chapter 26,shmoop
1529,0.2033080474688762,4,Emma.volume 2.chapter 27,shmoop
1530,0.20328420392339833,5,Emma.volume 2.chapter 28,shmoop
1531,0.15543625987513482,4,Emma.volume 2.chapter 29,shmoop
1532,0.21606978480510852,7,Emma.volume 2.chapter 30,shmoop
1533,0.2039971124892076,7,Emma.volume 2.chapter 31,shmoop
1534,0.1840889989677389,9,Emma.volume 2.chapter 32,shmoop
