,bartscore,number of Unique sentences,chapter-title,source
2390,-2.7521817453445925,6,Treasure Island.part 2.chapter 7,thebestnotes
2391,-3.058487436045771,10,Treasure Island.part 2.chapter 8,thebestnotes
2392,-3.3865644389932807,7,Treasure Island.part 2.chapter 9,thebestnotes
2393,-3.0018386610092653,9,Treasure Island.part 2.chapter 10,thebestnotes
2394,-3.3872428205278187,10,Treasure Island.part 2.chapter 11,thebestnotes
2395,-3.0838193552834645,7,Treasure Island.part 2.chapter 12,thebestnotes
2396,-3.009707873517817,12,Treasure Island.part 3.chapter 13,thebestnotes
2397,-3.057661031854564,8,Treasure Island.part 3.chapter 14,thebestnotes
2398,-2.7985708117485046,14,Treasure Island.part 3.chapter 15,thebestnotes
2399,-3.093603563308716,10,Treasure Island.part 4.chapter 16,thebestnotes
2400,-3.155537521839142,1,Treasure Island.part 4.chapter 17,thebestnotes
2401,-3.133206449705979,12,Treasure Island.part 4.chapter 18,thebestnotes
2402,-3.0268900990486145,10,Treasure Island.part 4.chapter 19,thebestnotes
2403,-3.2927000904083252,6,Treasure Island.part 4.chapter 20,thebestnotes
2404,-3.0632253039267754,6,Treasure Island.part 4.chapter 21,thebestnotes
2405,-2.9341989895876717,6,Treasure Island.part 5.chapter 22,thebestnotes
2406,-2.8162073040008546,5,Treasure Island.part 5.chapter 23,thebestnotes
2407,-3.024161602321424,6,Treasure Island.part 5.chapter 24,thebestnotes
2408,-2.9482821226119995,8,Treasure Island.part 5.chapter 25,thebestnotes
2409,-2.9594288212912425,11,Treasure Island.part 5.chapter 26,thebestnotes
2410,-2.7891576921238617,8,Treasure Island.part 5.chapter 27,thebestnotes
2411,-2.509271608458625,7,Treasure Island.part 6.chapter 28,thebestnotes
2412,-3.4516154322130927,7,Treasure Island.part 6.chapter 29,thebestnotes
2413,-2.7468302249908447,5,Treasure Island.part 6.chapter 30,thebestnotes
2414,-3.4081900941914527,8,Treasure Island.part 6.chapter 31,thebestnotes
2415,-3.1530220097508925,4,Treasure Island.part 6.chapter 32,thebestnotes
2416,-3.2013110915819802,9,Treasure Island.part 6.chapter 33,thebestnotes
2417,-3.163543609210423,13,Treasure Island.part 6.chapter 34,thebestnotes
2418,-1.9762673377990723,7,David Copperfield.chapter i,sparknotes
2419,-2.231915533542633,8,David Copperfield.chapter ii,sparknotes
2420,-2.456845012578097,10,David Copperfield.chapter iii,sparknotes
2421,-2.433839029735989,13,David Copperfield.chapter iv,sparknotes
2422,-2.2163044214248657,12,David Copperfield.chapter v,sparknotes
2423,-2.268813278939989,4,David Copperfield.chapter vi,sparknotes
2424,-2.094301559708335,9,David Copperfield.chapter vii,sparknotes
2425,-2.5575746178627012,10,David Copperfield.chapter viii,sparknotes
2426,-2.494546657258814,7,David Copperfield.chapter ix,sparknotes
2427,-1.871357669432958,9,David Copperfield.chapter x,sparknotes
2428,-2.3517999215559526,6,David Copperfield.chapter xi,sparknotes
2429,-2.1096582114696503,5,David Copperfield.chapter xii,sparknotes
2430,-2.4207564327451916,7,David Copperfield.chapter xiii,sparknotes
2431,-2.338595226407051,10,David Copperfield.chapter xiv,sparknotes
2432,-2.355373129248619,7,David Copperfield.chapter xv,sparknotes
2433,-2.5642947643995284,14,David Copperfield.chapter xvi,sparknotes
2434,-2.2181097177358775,8,David Copperfield.chapter xvii,sparknotes
