,rouge-l,number of Unique sentences,chapter-title,source
102,0.13818167603851875,6,Jane Eyre.volume 1.chapter 6,shmoop
103,0.12430065921186391,7,Jane Eyre.volume 1.chapter 7,shmoop
104,0.15683853717857926,9,Jane Eyre.volume 1.chapter 8,shmoop
105,0.15853269785423585,11,Jane Eyre.volume 1.chapter 9,shmoop
106,0.17603955166685148,12,Jane Eyre.volume 1.chapter 10,shmoop
107,0.18161913005521546,16,Jane Eyre.volume 1.chapter 11,shmoop
108,0.16209582056463231,13,Jane Eyre.volume 1.chapter 12,shmoop
109,0.16123445754268387,9,Jane Eyre.volume 1.chapter 13,shmoop
110,0.16249613217485964,7,Jane Eyre.volume 1.chapter 14,shmoop
111,0.18689985503049544,17,Jane Eyre.volume 1.chapter 15,shmoop
112,0.2253057152697301,5,Jane Eyre.volume 1.chapter 1,cliffnotes
113,0.21695404413758912,8,Jane Eyre.volume 1.chapter 4,cliffnotes
114,0.20752886157610423,9,Jane Eyre.volume 1.chapter 5,cliffnotes
115,0.20719065894016098,6,Jane Eyre.volume 1.chapter 8,cliffnotes
116,0.18247143637451646,9,Jane Eyre.volume 1.chapter 9,cliffnotes
117,0.2084252789254391,8,Jane Eyre.volume 1.chapter 10,cliffnotes
118,0.2161864920483473,8,Jane Eyre.volume 1.chapter 11,cliffnotes
119,0.1913266284715557,10,Jane Eyre.volume 1.chapter 12,cliffnotes
120,0.15770820331694432,6,Jane Eyre.volume 1.chapter 13,cliffnotes
121,0.17431522103889485,6,Jane Eyre.volume 2.chapter 16,cliffnotes
122,0.2522090742857903,12,Jane Eyre.volume 2.chapter 17,cliffnotes
123,0.20351371933819262,11,Jane Eyre.volume 2.chapter 20,cliffnotes
124,0.2219050369482265,13,Jane Eyre.volume 2.chapter 21,cliffnotes
125,0.2132781301244505,4,Jane Eyre.volume 2.chapter 22,cliffnotes
126,0.21981028990772625,8,Jane Eyre.volume 2.chapter 23,cliffnotes
127,0.2065622651282516,11,Jane Eyre.volume 3.chapter 26,cliffnotes
128,0.21260565105216375,12,Jane Eyre.volume 3.chapter 27,cliffnotes
129,0.21188870400993298,9,Jane Eyre.volume 3.chapter 30,cliffnotes
130,0.1606498243546569,8,Jane Eyre.volume 3.chapter 31,cliffnotes
131,0.2253762601244636,8,Jane Eyre.volume 3.chapter 32,cliffnotes
132,0.213749040410601,8,Jane Eyre.volume 3.chapter 33,cliffnotes
133,0.221858057557314,10,Jane Eyre.volume 3.chapter 34,cliffnotes
134,0.19703007190463473,12,Jane Eyre.volume 3.chapter 35,cliffnotes
135,0.22968392011553757,10,Jane Eyre.volume 3.chapter 36,cliffnotes
136,0.26236667923390755,11,Jane Eyre.volume 3.chapter 37,cliffnotes
137,0.21181629945032482,8,Jane Eyre.volume 3.chapter 38,cliffnotes
138,0.2559336518722013,5,Jane Eyre.volume 1.chapter 1,sparknotes
139,0.2111857538811929,5,Jane Eyre.volume 1.chapter 2,sparknotes
140,0.20415895140390936,4,Jane Eyre.volume 1.chapter 3,sparknotes
141,0.1910238704442757,6,Jane Eyre.volume 1.chapter 4,sparknotes
142,0.2663660592227674,5,Jane Eyre.volume 1.chapter 5,sparknotes
143,0.20577974401381738,4,Jane Eyre.volume 1.chapter 6,sparknotes
144,0.22332404140813855,4,Jane Eyre.volume 1.chapter 7,sparknotes
145,0.2384977295862149,7,Jane Eyre.volume 1.chapter 8,sparknotes
146,0.240365341259094,5,Jane Eyre.volume 1.chapter 9,sparknotes
147,0.25180241277200865,7,Jane Eyre.volume 1.chapter 10,sparknotes
148,0.23288492224904359,4,Jane Eyre.volume 2.chapter 16,sparknotes
149,0.2565178868026291,11,Jane Eyre.volume 2.chapter 17,sparknotes
150,0.1996293661872815,8,Jane Eyre.volume 2.chapter 18,sparknotes
151,0.25761366293921284,5,Jane Eyre.volume 2.chapter 19,sparknotes
152,0.2204521145181854,10,Jane Eyre.volume 2.chapter 20,sparknotes
153,0.2486215080911556,9,Jane Eyre.volume 2.chapter 21,sparknotes
154,0.21280829106843394,5,Jane Eyre.volume 2.chapter 22,sparknotes
155,0.23481300700980973,8,Jane Eyre.volume 2.chapter 23,sparknotes
156,0.17764033008808913,6,Jane Eyre.volume 2.chapter 24,sparknotes
157,0.2024814781584893,8,Jane Eyre.volume 2.chapter 25,sparknotes
158,0.2012304424557393,10,Jane Eyre.volume 3.chapter 26,sparknotes
159,0.21467966090097768,16,Jane Eyre.volume 3.chapter 27,sparknotes
160,0.21910168580011988,9,Jane Eyre.volume 3.chapter 28,sparknotes
161,0.19322527107032747,7,Jane Eyre.volume 3.chapter 29,sparknotes
162,0.24796707271693058,7,Jane Eyre.volume 3.chapter 30,sparknotes
163,0.19953331520556836,6,Jane Eyre.volume 3.chapter 31,sparknotes
164,0.2296824140678891,7,Jane Eyre.volume 3.chapter 32,sparknotes
165,0.22206870260255818,7,Jane Eyre.volume 3.chapter 33,sparknotes
166,0.23595783100306827,6,Jane Eyre.volume 3.chapter 34,sparknotes
167,0.25219713802572685,6,Jane Eyre.volume 3.chapter 35,sparknotes
168,0.2727028593658575,7,Jane Eyre.volume 3.chapter 36,sparknotes
169,0.29122291085487106,10,Jane Eyre.volume 3.chapter 37,sparknotes
170,0.22013528239511587,8,Jane Eyre.volume 3.chapter 38,sparknotes
171,0.1602204087013152,8,Jane Eyre.volume 2.chapter 19,bookwolf
172,0.1997349922414421,6,Jane Eyre.volume 2.chapter 20,bookwolf
173,0.20633183588919088,10,Jane Eyre.volume 2.chapter 21,bookwolf
